forecastdate,state,party,model,win_probability,mean_seats,median_seats,p10_seats,p90_seats,margin,p10_margin,p90_margin
2018-10-19,US,D,deluxe,0.2471,23.68,24.0,20.0,27.0,2.64,-1.0,6.25
2018-10-19,US,R,deluxe,0.6162,26.32,26.0,23.0,30.0,-2.64,1.0,-6.25
2018-10-20,US,D,deluxe,0.2485,23.7,24.0,20.0,27.0,2.69,-0.92,6.26
2018-10-20,US,R,deluxe,0.6113,26.3,26.0,23.0,30.0,-2.69,0.92,-6.26
2018-10-21,US,D,deluxe,0.2584,23.78,24.0,20.0,27.0,2.77,-0.8,6.33
2018-10-21,US,R,deluxe,0.6007,26.22,26.0,23.0,30.0,-2.77,0.8,-6.33
2018-10-22,US,D,deluxe,0.276,23.93,24.0,21.0,27.0,2.98,-0.59,6.57
2018-10-22,US,R,deluxe,0.5789,26.07,26.0,23.0,29.0,-2.98,0.59,-6.57
2018-10-23,US,D,deluxe,0.2634,23.83,24.0,20.0,27.0,2.9,-0.67,6.45
2018-10-23,US,R,deluxe,0.5944,26.17,26.0,23.0,30.0,-2.9,0.67,-6.45
2018-10-24,US,D,deluxe,0.2462,23.7,24.0,20.0,27.0,2.8,-0.74,6.34
2018-10-24,US,R,deluxe,0.6164,26.3,26.0,23.0,30.0,-2.8,0.74,-6.34
2018-10-25,US,D,deluxe,0.2456,23.7,24.0,20.0,27.0,2.6,-0.9,6.12
2018-10-25,US,R,deluxe,0.6133,26.3,26.0,23.0,30.0,-2.6,0.9,-6.12
2018-10-11,US,D,lite,0.3698,24.3,24.0,20.0,29.0,1.91,-1.97,5.8
2018-10-11,US,R,lite,0.5109,25.67,26.0,21.0,30.0,-1.91,1.97,-5.8
2018-10-12,US,D,lite,0.3398,24.08,24.0,20.0,28.0,1.73,-2.16,5.59
2018-10-12,US,R,lite,0.5388,25.9,26.0,22.0,30.0,-1.73,2.16,-5.59
2018-10-13,US,D,lite,0.3566,24.2,24.0,20.0,28.0,1.67,-2.23,5.55
2018-10-13,US,R,lite,0.5208,25.78,26.0,22.0,30.0,-1.67,2.23,-5.55
2018-10-16,US,D,lite,0.3578,24.19,24.0,20.0,28.0,1.78,-2.09,5.64
2018-10-16,US,R,lite,0.515,25.78,26.0,22.0,30.0,-1.78,2.09,-5.64
2018-10-17,US,D,lite,0.3428,24.1,24.0,20.0,28.0,1.83,-2.02,5.7
2018-10-17,US,R,lite,0.5337,25.87,26.0,22.0,30.0,-1.83,2.02,-5.7
2018-10-18,US,D,lite,0.3441,24.11,24.0,20.0,28.0,1.86,-1.97,5.69
2018-10-18,US,R,lite,0.5303,25.86,26.0,22.0,30.0,-1.86,1.97,-5.69
2018-10-19,US,D,lite,0.388,24.42,25.0,20.0,29.0,1.93,-1.89,5.73
2018-10-19,US,R,lite,0.4975,25.58,25.0,21.0,30.0,-1.93,1.89,-5.73
2018-10-20,US,D,lite,0.3838,24.43,25.0,20.0,29.0,1.98,-1.83,5.77
2018-10-20,US,R,lite,0.4963,25.57,25.0,21.0,30.0,-1.98,1.83,-5.77
2018-10-21,US,D,lite,0.4031,24.56,25.0,20.0,29.0,2.11,-1.68,5.91
2018-10-21,US,R,lite,0.4764,25.44,25.0,21.0,30.0,-2.11,1.68,-5.91
2018-10-22,US,D,lite,0.42,24.73,25.0,21.0,29.0,2.52,-1.26,6.33
2018-10-22,US,R,lite,0.4606,25.27,25.0,21.0,29.0,-2.52,1.26,-6.33
2018-10-23,US,D,lite,0.4073,24.62,25.0,20.0,29.0,2.43,-1.38,6.21
2018-10-23,US,R,lite,0.4717,25.38,25.0,21.0,30.0,-2.43,1.38,-6.21
2018-10-24,US,D,lite,0.3802,24.4,25.0,20.0,29.0,2.34,-1.41,6.13
2018-10-24,US,R,lite,0.4992,25.6,25.0,21.0,30.0,-2.34,1.41,-6.13
2018-10-25,US,D,lite,0.3786,24.38,25.0,20.0,28.0,2.12,-1.61,5.88
2018-10-25,US,R,lite,0.4997,25.62,25.0,22.0,30.0,-2.12,1.61,-5.88
