forecastdate,state,district,special,candidate,party,incumbent,model,win_probability,voteshare,p10_voteshare,p90_voteshare
2018-10-12,AR,"",,Asa Hutchinson,R,true,classic,0.9992,63.96,58.49,69.37
2018-10-12,AR,"",,Jared Henderson,D,false,classic,0.0008,33.58,28.21,38.98
2018-10-12,AR,"",,Mark West,L,false,classic,0.0,2.46,0.7,4.68
2018-10-12,AZ,"",,Doug Ducey,R,true,classic,0.9508,54.88,50.28,59.47
2018-10-12,AZ,"",,David Garcia,D,false,classic,0.0492,43.0,38.38,47.6
2018-10-12,AZ,"",,Angel Torres,G,false,classic,0.0,2.11,0.56,4.07
2018-10-12,CA,"",,Gavin Newsom,D,false,classic,0.9798,58.8,53.54,64.07
2018-10-12,CA,"",,John Cox,R,false,classic,0.0202,41.2,35.93,46.46
2018-10-12,CO,"",,Jared Polis,D,false,classic,0.9093,53.8,48.71,58.91
2018-10-12,CO,"",,Walker Stapleton,R,false,classic,0.0907,43.52,38.41,48.6
2018-10-12,CO,"",,Others,,false,classic,0.0,2.69,0.8,5.06
2018-10-12,CT,"",,Ned Lamont,D,false,classic,0.8511,52.41,47.72,57.02
2018-10-12,CT,"",,Bob Stefanowski,R,false,classic,0.1489,45.12,40.46,49.76
2018-10-12,CT,"",,Others,,false,classic,0.0,2.48,0.71,4.7
2018-10-12,FL,"",,Andrew Gillum,D,false,classic,0.712,50.44,46.14,54.65
2018-10-12,FL,"",,Ron DeSantis,R,false,classic,0.288,46.98,42.7,51.26
2018-10-12,FL,"",,Others,,false,classic,0.0,2.58,0.75,4.89
2018-10-12,GA,"",,Brian Kemp,R,false,classic,0.5708,49.7,45.79,53.61
2018-10-12,GA,"",,Stacey Abrams,D,false,classic,0.4292,49.04,45.1,52.94
2018-10-12,GA,"",,Ted Metz,L,false,classic,0.0,1.26,0.27,2.56
2018-10-12,HI,"",,David Ige,D,true,classic,0.9987,64.38,58.44,70.27
2018-10-12,HI,"",,Andria Tupola,R,false,classic,0.0013,33.09,27.19,39.02
2018-10-12,HI,"",,Others,,false,classic,0.0,2.53,0.74,4.78
2018-10-12,IA,"",,Fred Hubbell,D,false,classic,0.8371,52.3,46.92,57.68
2018-10-12,IA,"",,Kim Reynolds,R,true,classic,0.1629,44.54,39.14,49.9
2018-10-12,IA,"",,Others,,false,classic,0.0,3.16,1.0,5.8
2018-10-12,ID,"",,Brad Little,R,false,classic,0.9547,54.3,48.3,60.24
2018-10-12,ID,"",,Paulette Jordan,D,false,classic,0.0453,39.22,33.18,45.18
2018-10-12,ID,"",,Others,,false,classic,0.0,6.48,2.84,10.73
2018-10-12,IL,"",,JB Pritzker,D,false,classic,0.9036,53.73,47.22,60.18
2018-10-12,IL,"",,Bruce Rauner,R,true,classic,0.0964,41.2,34.69,47.59
2018-10-12,IL,"",,Others,,false,classic,0.0,5.07,1.98,8.73
2018-10-12,KS,"",,Kris Kobach,R,false,classic,0.6422,45.42,39.77,51.07
2018-10-12,KS,"",,Laura Kelly,D,false,classic,0.3575,42.83,37.07,48.38
2018-10-12,KS,"",,Greg Orman,I,false,classic,0.0004,9.89,5.14,15.23
2018-10-12,KS,"",,Others,,false,classic,0.0,1.86,0.47,3.66
2018-10-12,MA,"",,Charlie Baker,R,true,classic,0.9977,64.74,58.77,70.67
2018-10-12,MA,"",,Jay Gonzalez,D,false,classic,0.0023,35.26,29.33,41.23
2018-10-12,MD,"",,Larry Hogan,R,true,classic,0.9916,57.39,52.75,62.02
2018-10-12,MD,"",,Ben Jealous,D,false,classic,0.0084,39.62,34.97,44.22
2018-10-12,MD,"",,Others,,false,classic,0.0,2.99,0.92,5.56
2018-10-12,ME,"",,Janet Mills,D,false,classic,0.8567,53.62,47.25,59.88
2018-10-12,ME,"",,Shawn Moody,R,false,classic,0.1433,43.4,37.11,49.75
2018-10-12,ME,"",,Others,,false,classic,0.0,2.98,0.93,5.57
2018-10-12,MI,"",,Gretchen Whitmer,D,false,classic,0.9497,54.16,49.55,58.7
2018-10-12,MI,"",,Bill Schuette,R,false,classic,0.0503,42.73,38.17,47.27
2018-10-12,MI,"",,Others,,false,classic,0.0,3.11,0.98,5.74
2018-10-12,MN,"",,Tim Walz,D,false,classic,0.9518,54.93,50.11,59.71
2018-10-12,MN,"",,Jeff Johnson,R,false,classic,0.0482,42.55,37.72,47.37
2018-10-12,MN,"",,Others,,false,classic,0.0,2.51,0.72,4.76
2018-10-12,NE,"",,Pete Ricketts,R,true,classic,0.9917,61.34,55.73,67.0
2018-10-12,NE,"",,Bob Krist,D,false,classic,0.0083,38.66,33.0,44.27
2018-10-12,NH,"",,Chris Sununu,R,true,classic,0.9767,57.21,52.0,62.43
2018-10-12,NH,"",,Molly Kelly,D,false,classic,0.0233,40.51,35.29,45.7
2018-10-12,NH,"",,Jilletta Jarvis,L,false,classic,0.0,2.28,0.64,4.36
2018-10-12,NM,"",,Michelle Lujan Grisham,D,false,classic,0.8569,53.62,49.23,57.97
2018-10-12,NM,"",,Steve Pearce,R,false,classic,0.1431,46.38,42.03,50.77
2018-10-12,NV,"",,Adam Laxalt,R,false,classic,0.5082,48.6,44.03,53.17
2018-10-12,NV,"",,Steve Sisolak,D,false,classic,0.4918,48.47,43.9,53.0
2018-10-12,NV,"",,Others,,false,classic,0.0,2.93,0.9,5.47
2018-10-12,NY,"",,Andrew Cuomo,D,true,classic,0.9967,59.08,54.06,64.08
2018-10-12,NY,"",,Marc Molinaro,R,false,classic,0.0033,36.91,31.84,41.86
2018-10-12,NY,"",,Others,,false,classic,0.0,4.02,1.43,7.15
2018-10-12,OH,"",,Mike DeWine,R,false,classic,0.594,49.77,45.34,54.2
2018-10-12,OH,"",,Richard Cordray,D,false,classic,0.406,48.22,43.79,52.6
2018-10-12,OH,"",,Others,,false,classic,0.0,2.01,0.53,3.9
2018-10-12,OK,"",,Kevin Stitt,R,false,classic,0.8113,52.3,47.45,57.24
2018-10-12,OK,"",,Drew Edmondson,D,false,classic,0.1887,45.87,40.93,50.69
2018-10-12,OK,"",,Chris Powell,L,false,classic,0.0,1.83,0.46,3.59
2018-10-12,OR,"",,Kate Brown,D,true,classic,0.8921,51.94,46.66,57.11
2018-10-12,OR,"",,Knute Buehler,R,false,classic,0.1079,42.6,37.36,47.8
2018-10-12,OR,"",,Others,,false,classic,0.0,5.46,2.21,9.33
2018-10-12,PA,"",,Tom Wolf,D,true,classic,0.9896,56.96,52.71,61.21
2018-10-12,PA,"",,Scott Wagner,R,false,classic,0.0104,40.98,36.7,45.25
2018-10-12,PA,"",,Others,,false,classic,0.0,2.06,0.54,3.99
2018-10-12,RI,"",,Gina Raimondo,D,true,classic,0.9688,55.86,49.03,62.52
2018-10-12,RI,"",,Allan Fung,R,false,classic,0.0312,36.57,29.83,43.26
2018-10-12,RI,"",,Others,,false,classic,0.0,7.57,3.51,12.26
2018-10-12,SC,"",,Henry McMaster,R,true,classic,0.9626,56.01,51.81,60.27
2018-10-12,SC,"",,James Smith,D,false,classic,0.0374,43.99,39.73,48.19
2018-10-12,SD,"",,Kristi Noem,R,false,classic,0.8909,54.34,48.55,60.2
2018-10-12,SD,"",,Billie Sutton,D,false,classic,0.1091,43.45,37.55,49.23
2018-10-12,SD,"",,Kurt Evans,L,false,classic,0.0,2.21,0.6,4.26
2018-10-12,TN,"",,Bill Lee,R,false,classic,0.9693,54.04,48.87,59.17
2018-10-12,TN,"",,Karl Dean,D,false,classic,0.0307,39.76,34.56,44.87
2018-10-12,TN,"",,Others,,false,classic,0.0,6.2,2.64,10.37
2018-10-12,TX,"",,Greg Abbott,R,true,classic,0.995,58.14,53.85,62.45
2018-10-12,TX,"",,Lupe Valdez,D,false,classic,0.005,39.97,35.63,44.24
2018-10-12,TX,"",,Mark Tippetts,L,false,classic,0.0,1.9,0.49,3.71
2018-10-12,VT,"",,Phil Scott,R,true,classic,0.9559,53.46,47.9,58.95
2018-10-12,VT,"",,Christine Hallquist,D,false,classic,0.0441,39.73,34.15,45.22
2018-10-12,VT,"",,Others,,false,classic,0.0,6.82,3.02,11.23
2018-10-12,WI,"",,Tony Evers,D,false,classic,0.614,49.37,44.2,54.51
2018-10-12,WI,"",,Scott Walker,R,true,classic,0.386,47.23,42.06,52.36
2018-10-12,WI,"",,Others,,false,classic,0.0,3.4,1.12,6.19
2018-10-12,WY,"",,Mark Gordon,R,false,classic,0.9934,60.15,54.07,66.24
2018-10-12,WY,"",,Mary Throne,D,false,classic,0.0066,35.29,29.18,41.37
2018-10-12,WY,"",,Others,,false,classic,0.0,4.55,1.71,7.97
2018-10-13,AK,"",,Mike Dunleavy,R,false,classic,0.8262,41.12,33.71,48.48
2018-10-13,AK,"",,Mark Begich,D,false,classic,0.1363,29.07,20.21,37.91
2018-10-13,AK,"",,Bill Walker,U,true,classic,0.0375,26.67,20.13,33.43
2018-10-13,AK,"",,Others,,false,classic,0.0,3.14,1.01,5.79
2018-10-13,AL,"",,Kay Ivey,R,true,classic,0.9878,58.6,53.97,63.3
2018-10-13,AL,"",,Walt Maddox,D,false,classic,0.0122,41.4,36.7,46.03
2018-10-13,AR,"",,Asa Hutchinson,R,true,classic,0.999,63.97,58.58,69.36
2018-10-13,AR,"",,Jared Henderson,D,false,classic,0.001,33.57,28.13,38.93
2018-10-13,AR,"",,Mark West,L,false,classic,0.0,2.46,0.72,4.67
2018-10-13,AZ,"",,Doug Ducey,R,true,classic,0.9534,54.89,50.3,59.44
2018-10-13,AZ,"",,David Garcia,D,false,classic,0.0465,42.98,38.37,47.55
2018-10-13,AZ,"",,Angel Torres,G,false,classic,0.0,2.12,0.57,4.1
2018-10-13,CA,"",,Gavin Newsom,D,false,classic,0.9803,58.78,53.52,64.01
2018-10-13,CA,"",,John Cox,R,false,classic,0.0197,41.22,35.99,46.48
2018-10-13,CO,"",,Jared Polis,D,false,classic,0.9093,53.8,48.69,58.81
2018-10-13,CO,"",,Walker Stapleton,R,false,classic,0.0907,43.52,38.51,48.58
2018-10-13,CO,"",,Others,,false,classic,0.0,2.68,0.79,5.04
2018-10-13,CT,"",,Ned Lamont,D,false,classic,0.8543,52.38,47.75,56.98
2018-10-13,CT,"",,Bob Stefanowski,R,false,classic,0.1457,45.14,40.51,49.75
2018-10-13,CT,"",,Others,,false,classic,0.0,2.48,0.71,4.7
2018-10-13,FL,"",,Andrew Gillum,D,false,classic,0.7075,50.42,46.15,54.7
2018-10-13,FL,"",,Ron DeSantis,R,false,classic,0.2924,47.0,42.71,51.23
2018-10-13,FL,"",,Others,,false,classic,0.0,2.58,0.75,4.89
2018-10-13,GA,"",,Brian Kemp,R,false,classic,0.5738,49.71,45.8,53.69
2018-10-13,GA,"",,Stacey Abrams,D,false,classic,0.4262,49.03,45.06,52.9
2018-10-13,GA,"",,Ted Metz,L,false,classic,0.0,1.26,0.27,2.56
2018-10-13,HI,"",,David Ige,D,true,classic,0.9988,64.39,58.47,70.32
2018-10-13,HI,"",,Andria Tupola,R,false,classic,0.0012,33.08,27.1,39.01
2018-10-13,HI,"",,Others,,false,classic,0.0,2.53,0.74,4.77
2018-10-13,IA,"",,Fred Hubbell,D,false,classic,0.8339,52.29,46.87,57.64
2018-10-13,IA,"",,Kim Reynolds,R,true,classic,0.1661,44.55,39.17,49.93
2018-10-13,IA,"",,Others,,false,classic,0.0,3.16,1.01,5.82
2018-10-13,ID,"",,Brad Little,R,false,classic,0.954,54.31,48.26,60.25
2018-10-13,ID,"",,Paulette Jordan,D,false,classic,0.046,39.21,33.19,45.17
2018-10-13,ID,"",,Others,,false,classic,0.0,6.48,2.83,10.74
2018-10-13,IL,"",,JB Pritzker,D,false,classic,0.9032,53.72,47.28,60.07
2018-10-13,IL,"",,Bruce Rauner,R,true,classic,0.0968,41.21,34.76,47.65
2018-10-13,IL,"",,Others,,false,classic,0.0,5.07,1.98,8.73
2018-10-13,KS,"",,Kris Kobach,R,false,classic,0.6396,45.43,39.71,51.05
2018-10-13,KS,"",,Laura Kelly,D,false,classic,0.3601,42.81,37.12,48.39
2018-10-13,KS,"",,Greg Orman,I,false,classic,0.0003,9.89,5.15,15.23
2018-10-13,KS,"",,Others,,false,classic,0.0,1.86,0.47,3.65
2018-10-13,MA,"",,Charlie Baker,R,true,classic,0.9974,64.71,58.84,70.64
2018-10-13,MA,"",,Jay Gonzalez,D,false,classic,0.0026,35.29,29.36,41.16
2018-10-13,MD,"",,Larry Hogan,R,true,classic,0.9914,57.37,52.69,62.01
2018-10-13,MD,"",,Ben Jealous,D,false,classic,0.0086,39.63,34.96,44.28
2018-10-13,MD,"",,Others,,false,classic,0.0,2.99,0.94,5.56
2018-10-13,ME,"",,Janet Mills,D,false,classic,0.893,54.15,48.69,59.59
2018-10-13,ME,"",,Shawn Moody,R,false,classic,0.107,43.85,38.39,49.27
2018-10-13,ME,"",,Others,,false,classic,0.0,2.0,0.52,3.91
2018-10-13,MI,"",,Gretchen Whitmer,D,false,classic,0.9498,54.15,49.52,58.71
2018-10-13,MI,"",,Bill Schuette,R,false,classic,0.0502,42.75,38.16,47.27
2018-10-13,MI,"",,Others,,false,classic,0.0,3.11,0.99,5.77
2018-10-13,MN,"",,Tim Walz,D,false,classic,0.9531,54.93,50.08,59.68
2018-10-13,MN,"",,Jeff Johnson,R,false,classic,0.0469,42.56,37.81,47.33
2018-10-13,MN,"",,Others,,false,classic,0.0,2.51,0.72,4.76
2018-10-13,NE,"",,Pete Ricketts,R,true,classic,0.9915,61.35,55.75,66.98
2018-10-13,NE,"",,Bob Krist,D,false,classic,0.0085,38.65,33.02,44.25
2018-10-13,NH,"",,Chris Sununu,R,true,classic,0.9769,57.21,51.94,62.36
2018-10-13,NH,"",,Molly Kelly,D,false,classic,0.0231,40.52,35.31,45.76
2018-10-13,NH,"",,Jilletta Jarvis,L,false,classic,0.0,2.27,0.63,4.32
2018-10-13,NM,"",,Michelle Lujan Grisham,D,false,classic,0.8547,53.61,49.2,57.98
2018-10-13,NM,"",,Steve Pearce,R,false,classic,0.1453,46.39,42.02,50.8
2018-10-13,NV,"",,Adam Laxalt,R,false,classic,0.5117,48.63,44.03,53.2
2018-10-13,NV,"",,Steve Sisolak,D,false,classic,0.4883,48.45,43.88,53.03
2018-10-13,NV,"",,Others,,false,classic,0.0,2.92,0.9,5.48
2018-10-13,NY,"",,Andrew Cuomo,D,true,classic,0.9964,59.06,54.05,64.05
2018-10-13,NY,"",,Marc Molinaro,R,false,classic,0.0036,36.94,31.9,41.89
2018-10-13,NY,"",,Others,,false,classic,0.0,4.0,1.42,7.11
2018-10-13,OH,"",,Mike DeWine,R,false,classic,0.5968,49.77,45.35,54.16
2018-10-13,OH,"",,Richard Cordray,D,false,classic,0.4032,48.22,43.79,52.62
2018-10-13,OH,"",,Others,,false,classic,0.0,2.01,0.53,3.92
2018-10-13,OK,"",,Kevin Stitt,R,false,classic,0.809,52.31,47.39,57.14
